04C65C5F.BBS,1. G HeartOGold
CC3B637D.BBS,2. A Faith
7417569E.BBS,3. Ab URtheBestThng
BB354E5A.BBS,4. A HaveUEverSeenRain
404E8656.BBS,5. Am WildWorld
84A44ED1.BBS,6. G HeyYa
B542FBD0.BBS,7. C NewSlang
FB05DF1B.BBS,8. C Traveller
4D1AF177.BBS,9. C CrzyLilThngLove
B3D7E995.BBS,10. A Mushaboom
3D16F234.BBS,11. B YllwColdplay
4F1F9E6A.BBS,12. E WhllStpThRain
6DE173BA.BBS,13. Bm-G WildHorses
9B45EA01.BBS,14. C  BothSidesNow
8CD29BDD.BBS,15. G Landslide
04A68809.BBS,16. C NorthrnAtttde
2E001BB4.BBS,17. Em SaveMe
B7299AFD.BBS,18. Dm ManWhoSldWrld
5C98F3A6.BBS,19. ***** change instrument
