407DAEBF.BBS,1. C LeanOnMe
8093FC03.BBS,2. D AllINeedIsMiracle
A83AEF4A.BBS,3. C UptownGirl
E3D5BE87.BBS,4. C TinyDancer
E8546DF6.BBS,5. F ThisOldHeartOfMine
39937840.BBS,6. Bb ChangesBowie
AD1A638F.BBS,7. G-Bb HeadOverHeels
22CC724E.BBS,8. D SpeedOfSound
1B67CD5A.BBS,9. C IsntSheLovly
A64A5795.BBS,10. Golden - Harry Styles
FEDB1F39.BBS,11. F# SteppinOut
96408080.BBS,12. >Bb LetItBe
FE6D3935.BBS,13. D WouldntItBeNice
84DEA87B.BBS,14. C BendNBreak
81FFA745.BBS,15. E LovelyDay
842846CA.BBS,16. C Evrybdy...RleThWrld
B23BD79A.BBS,17. Abm KingOfPain
2BE88D0D.BBS,18. >F PegSteelyDan
B439EF39.BBS,19. >G TimeAftTime
72AB2AD5.BBS,20. >C 4OnceInMyLife
CC55937F.BBS,21. >Am LightMyFire
F292FC46.BBS,22. >Gm Rocketman
4802175A.BBS,23. Ebm UMakeLovingFun
6112392C.BBS,24. Bb DontLookBackInAnger
E481BBF9.BBS,25. C LongestTimeBillyJoel
6F3CB320.BBS,26. >G ReelinInTheYears
55D2600F.BBS,27. Gm SayALittlePrayer
0D3B4B72.BBS,28. D-E OutOMyLeag
04C0DB8A.BBS,29. >D HigherLove
89E12314.BBS,30. Db Heroes
525041A0.BBS,31. Ab SaveUrTears
A77F1F55.BBS,32. C#m LessIKnwBttr
1B68636A.BBS,33. Bb ThankU Zep
8BA3ECF4.BBS,34. Ab EvrybdysChngng
C9B963B1.BBS,35. ***** change instrument
